title,name
Captain America,Captain America (Steven Rogers)
Howard the Duck,Howard the Duck
Blade,Blade (Eric Brooks)
X-Men,Wolverine (James "Logan" Howlett)
X-Men,Storm (Ororo Munroe)
X-Men,Cyclops (Scott Summers)
X-Men,Professor X (Charles Xavier)
Blade II,Blade (Eric Brooks)
Spider-Man,Spider-Man (Peter Parker)
Daredevil,Daredevil (Matt Murdock)
X2: X-Men United,Wolverine (James "Logan" Howlett)
X2: X-Men United,Storm (Ororo Munroe)
X2: X-Men United,Cyclops (Scott Summers)
X2: X-Men United,Professor X (Charles Xavier)
Hulk,Hulk (Robert Bruce Banner)
The Punisher,The Punisher (Frank Castle)
Spider-Man 2,Spider-Man (Peter Parker)
Blade: Trinity,Blade (Eric Brooks)
Elektra,Elektra (Elektra Natchios)
Fantastic Four,Mr. Fantastic (Reed Richards)
Fantastic Four,Invisible Woman (Susan Storm)
Fantastic Four,Human Torch (Johnny Storm)
Fantastic Four,The Thing (Benjamin Grimm)
X-Men: The Last Stand,Wolverine (James "Logan" Howlett)
X-Men: The Last Stand,Storm (Ororo Munroe)
X-Men: The Last Stand,Cyclops (Scott Summers)
X-Men: The Last Stand,Professor X (Charles Xavier)
Ghost Rider,Ghost Rider (Johnny Blaze)
Spider-Man 3,Spider-Man (Peter Parker)
Fantastic Four: Rise of the Silver Surfer,Mr. Fantastic (Reed Richards)
Fantastic Four: Rise of the Silver Surfer,Invisible Woman (Susan Storm)
Fantastic Four: Rise of the Silver Surfer,Human Torch (Johnny Storm)
Fantastic Four: Rise of the Silver Surfer,The Thing (Benjamin Grimm)
Iron Man,Iron Man (Tony Stark)
The Incredible Hulk,Hulk (Robert Bruce Banner)
Punisher: War Zone,The Punisher (Frank Castle)
X-Men Origins: Wolverine,Wolverine (James "Logan" Howlett)
Iron Man 2,Iron Man (Tony Stark)
Thor,Thor (Thor Odinson)
X: First Class,Professor X (Charles Xavier)
X: First Class,Magneto (Erik Lehnsherr)
X: First Class,Mystique (Raven Darkholme)
X: First Class,Beast (Hank McCoy)
Captain America: The First Avenger,Captain America (Steven Rogers)
Ghost Rider: Spirit of Vengeance,Ghost Rider (Johnny Blaze)
The Avengers,Captain America (Steve Rogers)
The Avengers,Iron Man (Tony Stark)
The Avengers,Thor (Thor Odinson)
The Avengers,Hulk (Bruce Banner)
The Avengers,Black Widow (Natasha Romanoff)
The Avengers,Hawkeye (Clint Barton)
The Amazing Spider-Man,Spider-Man (Peter Parker)
Iron Man Three,Iron Man (Tony Stark)
The Wolverine,Wolverine (James "Logan" Howlett)
Thor: The Dark World,Thor (Thor Odinson)
Captain America: The Winter Soldier,Captain America (Steve Rogers)
Captain America: The Winter Soldier,Black Widow (Natasha Romanoff)
Captain America: The Winter Soldier,Falcon (Sam Wilson)
The Amazing Spider-Man 2,Spider-Man (Peter Parker)
X-Men: Days of Future Past,Wolverine (James "Logan" Howlett)
X-Men: Days of Future Past,Storm (Ororo Munroe)
X-Men: Days of Future Past,Professor X (Charles Xavier)
X-Men: Days of Future Past,Magneto (Erik Lehnsherr)
X-Men: Days of Future Past,Mystique (Raven Darkholme)
X-Men: Days of Future Past,Beast (Hank McCoy)
Guardians of the Galaxy,Star-Lord (Peter Quill)
Guardians of the Galaxy,Gamora
Guardians of the Galaxy,Drax the Destroyer
Guardians of the Galaxy,Rocket Raccoon
Guardians of the Galaxy,Groot
Fantastic Four,Mr. Fantastic (Reed Richards)
Fantastic Four,Invisible Woman (Susan Storm)
Fantastic Four,Human Torch (Johnny Storm)
Fantastic Four,The Thing (Benjamin Grimm)
Deadpool,Deadpool (Wade Wilson)
Captain America: Civil War,Captain America (Steve Rogers)
Captain America: Civil War,Iron Man (Tony Stark)
Captain America: Civil War,Black Widow (Natasha Romanoff)
Captain America: Civil War,Falcon (Sam Wilson)
Captain America: Civil War,Winter Soldier (Bucky Barnes)
Captain America: Civil War,Hawkeye (Clint Barton)
Captain America: Civil War,Vision (The Vision)
Captain America: Civil War,Scarlet Witch (Wanda Maximoff)
Captain America: Civil War,Black Panther (T'Challa)
Captain America: Civil War,Spider-Man (Peter Parker)
Captain America: Civil War,War Machine (James Rhodes)
X-Men: Apocalypse,Professor X (Charles Xavier)
X-Men: Apocalypse,Magneto (Erik Lehnsherr)
X-Men: Apocalypse,Mystique (Raven Darkholme)
X-Men: Apocalypse,Beast (Hank McCoy)
X-Men: Apocalypse,Quicksilver (Peter Maximoff)
X-Men: Apocalypse,Jean Grey (Jean Grey)
X-Men: Apocalypse,Cyclops (Scott Summers)
X-Men: Apocalypse,Storm (Ororo Munroe)
Doctor Strange,Doctor Strange (Stephen Strange)
Doctor Strange,Ancient One (The Ancient One)
Doctor Strange,Baron Mordo (Karl Mordo)
Doctor Strange,Wong (Wong)
Logan,Wolverine (James "Logan" Howlett)
Logan,Professor X (Charles Xavier)
Guardians of the Galaxy Vol. 2,Star-Lord (Peter Quill)
Guardians of the Galaxy Vol. 2,Gamora
Guardians of the Galaxy Vol. 2,Drax the Destroyer
Guardians of the Galaxy Vol. 2,Rocket Raccoon
Guardians of the Galaxy Vol. 2,Groot
Guardians of the Galaxy Vol. 2,Nebula
Guardians of the Galaxy Vol. 2,Mantis
Guardians of the Galaxy Vol. 2,Yondu Udonta
