,title,year,genre,runtime,imdb_rating,imdb_gross,tomato_meter,tom_aud_score,entity,id,average_rating
0,Ant-Man,2015,"Action, Adventure, Comedy",117,73.0,180200000.0,83,86,1,38,80.66666666666667
1,Ant-Man and the Wasp,2018,"Action, Adventure, Comedy",118,70.0,216650000.0,87,75,1,51,77.33333333333333
2,Aquaman,2018,"Action, Adventure, Fantasy",143,69.0,335060000.0,65,74,0,86,69.33333333333333
3,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",141,73.0,459010000.0,76,83,1,37,77.33333333333333
4,Avengers: Endgame,2019,"Action, Adventure, Drama",181,84.0,858370000.0,94,90,1,54,89.33333333333333
5,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",149,84.0,678820000.0,85,91,1,49,86.66666666666667
6,Batman,1989,"Action, Adventure",126,75.0,251190000.0,71,84,0,67,76.66666666666667
7,Batman & Robin,1997,"Action, Sci-Fi",125,38.0,107330000.0,12,16,0,70,22.0
8,Batman Begins,2005,"Action, Adventure",140,82.0,206850000.0,84,94,0,74,86.66666666666667
9,Batman Forever,1995,"Action, Adventure",121,54.0,184030000.0,38,32,0,69,41.333333333333336
10,Batman Returns,1992,"Action, Crime, Fantasy",126,70.0,162830000.0,80,73,0,68,74.33333333333333
11,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",152,64.0,330360000.0,28,63,0,82,51.666666666666664
12,Batman: The Movie,1966,"Adventure, Comedy, Crime",105,65.0,0.0,79,62,0,59,68.66666666666667
13,Birds of Prey,2020,"Action, Adventure, Comedy",109,61.0,84160000.0,79,78,0,89,72.66666666666667
14,Black Panther,2018,"Action, Adventure, Sci-Fi",134,73.0,700060000.0,96,79,1,48,82.66666666666667
15,Blade,1998,"Action, Horror, Sci-Fi",120,71.0,70090000.0,55,78,1,3,68.0
16,Blade II,2002,"Action, Fantasy, Horror",117,67.0,82350000.0,57,68,1,5,64.0
17,Blade: Trinity,2004,"Action, Adventure, Fantasy",113,58.0,52410000.0,25,58,1,12,47.0
18,Captain America,1944,"Action, Adventure, Sci-Fi",244,55.0,0.0,0,82,1,1,45.666666666666664
19,Captain America: Civil War,2016,"Action, Adventure, Sci-Fi",147,78.0,408080000.0,90,89,1,41,85.66666666666667
20,Captain America: The First Avenger,2011,"Action, Adventure, Sci-Fi",124,69.0,176650000.0,80,74,1,26,74.33333333333333
21,Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",136,77.0,259770000.0,90,92,1,33,86.33333333333333
22,Captain Marvel,2019,"Action, Adventure, Sci-Fi",123,68.0,426830000.0,79,45,1,53,64.0
23,Catwoman,2004,"Action, Crime, Fantasy",104,34.0,40200000.0,9,18,0,72,20.333333333333332
24,Constantine,2005,"Action, Fantasy, Horror",121,70.0,75980000.0,46,72,0,73,62.666666666666664
